Código Jurisdicción,Descripción Jurisdicción,Código Subjurisdicción,Descripción Subjurisdicción,Código Entidad,Descripción Entidad,Código Programa,Descripción Programa,Código Subprograma,Descripción Subprograma,Código Inciso,Descripción Inciso,Código Principal,Descripción Principal,Crédito 2019
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",16,"Formación y Sanción de Leyes Nacionales",0,"Formación y Sanción de Leyes Nacionales",1,"Gastos en Personal",1,"Personal Permanente", 6.331.547.283,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",16,"Formación y Sanción de Leyes Nacionales",0,"Formación y Sanción de Leyes Nacionales",1,"Gastos en Personal",2,"Personal Temporario", 2.290.388.865,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",16,"Formación y Sanción de Leyes Nacionales",0,"Formación y Sanción de Leyes Nacionales",1,"Gastos en Personal",5,"Asistencia Social al Personal", 11.505.610,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",16,"Formación y Sanción de Leyes Nacionales",0,"Formación y Sanción de Leyes Nacionales",2,"Bienes de Consumo",1,"Productos Alimenticios, Agropecuarios y Forestales", 8.700.026,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",16,"Formación y Sanción de Leyes Nacionales",0,"Formación y Sanción de Leyes Nacionales",2,"Bienes de Consumo",2,"Textiles y Vestuario", 312.603,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",16,"Formación y Sanción de Leyes Nacionales",0,"Formación y Sanción de Leyes Nacionales",2,"Bienes de Consumo",3,"Productos de Papel, Cartón e Impresos", 4.439.970,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",16,"Formación y Sanción de Leyes Nacionales",0,"Formación y Sanción de Leyes Nacionales",2,"Bienes de Consumo",4,"Productos de Cuero y Caucho", 1.196,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",16,"Formación y Sanción de Leyes Nacionales",0,"Formación y Sanción de Leyes Nacionales",2,"Bienes de Consumo",5,"Productos Químicos, Combustibles y Lubricantes", 7.671.632,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",16,"Formación y Sanción de Leyes Nacionales",0,"Formación y Sanción de Leyes Nacionales",2,"Bienes de Consumo",6,"Productos de Minerales No Metálicos", 270.089,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",16,"Formación y Sanción de Leyes Nacionales",0,"Formación y Sanción de Leyes Nacionales",2,"Bienes de Consumo",7,"Productos Metálicos", 2.241.449,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",16,"Formación y Sanción de Leyes Nacionales",0,"Formación y Sanción de Leyes Nacionales",2,"Bienes de Consumo",9,"Otros Bienes de Consumo", 24.682.038,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",16,"Formación y Sanción de Leyes Nacionales",0,"Formación y Sanción de Leyes Nacionales",3,"Servicios No Personales",1,"Servicios Básicos", 30.872.030,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",16,"Formación y Sanción de Leyes Nacionales",0,"Formación y Sanción de Leyes Nacionales",3,"Servicios No Personales",2,"Alquileres y Derechos", 9.856.498,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",16,"Formación y Sanción de Leyes Nacionales",0,"Formación y Sanción de Leyes Nacionales",3,"Servicios No Personales",3,"Mantenimiento, Reparación y Limpieza", 60.418.063,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",16,"Formación y Sanción de Leyes Nacionales",0,"Formación y Sanción de Leyes Nacionales",3,"Servicios No Personales",4,"Servicios Técnicos y Profesionales", 48.594.007,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",16,"Formación y Sanción de Leyes Nacionales",0,"Formación y Sanción de Leyes Nacionales",3,"Servicios No Personales",5,"Servicios Comerciales y Financieros", 8.968.210,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",16,"Formación y Sanción de Leyes Nacionales",0,"Formación y Sanción de Leyes Nacionales",3,"Servicios No Personales",6,"Publicidad y Propaganda", 19.694.467,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",16,"Formación y Sanción de Leyes Nacionales",0,"Formación y Sanción de Leyes Nacionales",3,"Servicios No Personales",7,"Pasajes y Viáticos", 156.206.537,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",16,"Formación y Sanción de Leyes Nacionales",0,"Formación y Sanción de Leyes Nacionales",3,"Servicios No Personales",8,"Impuestos, Derechos, Tasas y Juicios", 6.470.782,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",16,"Formación y Sanción de Leyes Nacionales",0,"Formación y Sanción de Leyes Nacionales",3,"Servicios No Personales",9,"Otros Servicios", 15.610.460,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",16,"Formación y Sanción de Leyes Nacionales",0,"Formación y Sanción de Leyes Nacionales",4,"Bienes de Uso",2,"Construcciones", 80.000.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",16,"Formación y Sanción de Leyes Nacionales",0,"Formación y Sanción de Leyes Nacionales",4,"Bienes de Uso",3,"Maquinaria y Equipo", 18.300.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",16,"Formación y Sanción de Leyes Nacionales",0,"Formación y Sanción de Leyes Nacionales",4,"Bienes de Uso",8,"Activos Intangibles", 6.668.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",16,"Formación y Sanción de Leyes Nacionales",0,"Formación y Sanción de Leyes Nacionales",5,"Transferencias",1,"Transf. al Sector Privado para Financiar Gastos Corrientes", 9.301.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",16,"Formación y Sanción de Leyes Nacionales",0,"Formación y Sanción de Leyes Nacionales",5,"Transferencias",9,"Transferencias al Exterior", 3.840.000,0 
